id,street,city,zip,state,price
1,"0383 Stehr Corner","Carolyneview","VA","02673-0904",139914
2,"4540 Sibyl Mission","Ethanchester","MI","24164-6551",111006
3,"79906 Sipes Spring","Lake Joannieborough","AR","94778-8825",97155
4,"466 Domenica Mall","North Adrielland","OK","69674",53834
5,"40054 Wolff Harbors","New Kane","SC","70299",41145
6,"56444 Sporer Road","Hansenland","IL","24426-0062",21311
7,"391 Larson Union","Kovacekland","CT","75837",87346
8,"29794 Rogers Trail","New Melvina","OH","72102-7600",80670
9,"9114 Sauer View","Melodystad","SD","45017-9736",28495
10,"491 Barrows Station","New Amelie","NV","34526-2525",164273
11,"7628 Jakubowski Wells","South Benjamin","HI","51216-4119",105815
12,"8829 Adaline Lock","East Lawsonbury","NM","45755",175555
13,"2199 Jeremy Stream","Rowlandside","AR","89733-5772",58442
14,"27905 Cassin Prairie","Jordanside","UT","20751-4008",179725
15,"259 Schmitt Estates","Anselberg","CO","43974",137463
16,"67053 Bayer Mount","New Wilhelmton","RI","18764",46826
17,"3783 Rodrick Ferry","Schneiderfort","AR","33281-9700",175053
18,"10360 Upton Creek","Jaststad","CO","80311-2228",175171
19,"89352 Jettie Plain","West Linahaven","AL","11585",90009
20,"82671 Elbert Manor","Jeromefort","MN","91201-9090",147139
21,"80998 Mitchell Heights","North Newton","SD","69092",103743
22,"132 Arden Keys","Port Garret","TX","36260",163091
23,"3557 Stiedemann Row","North Tressaberg","WI","16539",136777
24,"7759 Raynor Club","Port Frederikland","CT","28124-2686",42120
25,"6427 Brando Landing","Lake Braeden","CA","28980-2065",116217
26,"99732 Vena Plains","North Rhiannaport","PA","21871-0339",145740
27,"658 West Parkway","Luigishire","LA","31456-2487",63089
28,"7657 Norberto Stravenue","Lake Minnieton","AK","21501-0582",156322
29,"925 Witting Isle","Port Maudieville","WA","91821",96187
30,"89818 Ratke Overpass","Karimouth","CO","16029-2549",39798
31,"34797 Reilly Fort","Johannaview","NE","65981-9066",158015
32,"20713 Orpha Divide","Port Loyce","SD","64974",30851
33,"2958 Domenic Burgs","Lake Sabryna","PA","29644-6734",155938
34,"122 Cordell Cove","Josefinabury","OH","00762-2787",43939
35,"5667 Abernathy Mews","Mantechester","VA","71086-1650",178147
36,"622 Jimmie Springs","Nettieton","MA","77431-0083",96909
37,"9038 Madisen Crescent","Titusstad","NM","13749",97395
38,"79221 Madyson Course","Lake Crystalborough","CT","04194-1972",77826
39,"70930 Maybelle Junctions","West Bo","RI","49584",154931
40,"989 Dorothy Wall","Port Verner","RI","23956-8629",87545
41,"56561 Earnest Glens","Jordonburgh","WY","05785-8401",29245
42,"9653 Medhurst Motorway","Johnsontown","OR","99639",144121
43,"7077 Predovic Underpass","East Marianhaven","AR","16885-0772",69964
44,"37619 Quitzon Track","New Eugene","HI","31882-4091",55177
45,"6221 Hilpert Stravenue","Emmerichshire","AL","88672-1986",176795
46,"53407 Daryl Cove","Marquardtville","TX","42662",81817
47,"86797 McGlynn Lakes","Lake Scot","MT","31391",28464
48,"33025 Becker Cape","South Winnifredborough","DE","16296",138411
49,"46513 Charlotte Motorway","East Bart","CO","66490",117320
50,"57907 Cummerata Road","Lake Lilliana","KS","60360",55987
51,"7653 Evelyn Ramp","Devenville","KY","14134-6410",78946
52,"3103 Elyse Path","New Madalinemouth","ID","39421",94321
53,"21334 Wintheiser Course","Hickleton","NJ","84901-7788",50666
54,"2824 Wilkinson Row","Lehnerland","AL","36674",31610
55,"240 Zackary Courts","Rutherfordview","VA","78575",85357
56,"92992 Ayla Ways","Thompsonfort","WV","36490",126741
57,"88748 Bonnie Fort","Kevinshire","AK","80636",94028
58,"745 Harry Path","Jaedenhaven","MN","72368-3916",120407
